Word,Count,Sense,Definition,Example 1,Example 2
crawl,5,,,swim by doing the crawl,European children learn the breast stroke; they often don't know how to crawl
cream,5,bat,beat thoroughly and conclusively in a competition or fight,We licked the other team on Sunday,
cream,5,,,make creamy by beating,Cream the butter
create,6,,pursue a creative activity,be engaged in a creative activity,Don't disturb him--he is creating
create,6,,bring into existence,The company was created  years ago,He created a new movement in painting
create d make,13,,create by artistic means,create a poem,Schoenberg created twelve-tone music
cripple,7,,deprive of strength or efficiency,make useless or worthless,This measure crippled our efforts
crispen,7,,,make brown and crisp by heating,toast bread
crochet,7,,,make a piece of needlework by interlocking and looping thread with a hooked needle,She sat there crocheting all day
crochet,7,,,create by looping or crocheting,crochet a bedspread
crook,5,,bend or cause to bend,He crooked his index finger,the road curved sharply
crop up,7,,appear suddenly or unexpectedly,The farm popped into view as we turned the corner,He suddenly popped up out of nowhere
croquet,7,,,drive away by hitting with one's ball,croquet the opponent's ball
cross,5,,to cover or extend over an area or time period,Rivers traverse the valley floor,The parking lot spans 3 acres
crossbreed,10,,breed animals or plants using parents of different races and varieties,cross a horse and a donkey,Mendel tried crossbreeding
crosscut,8,,cut using a diagonal line,,
cross-fertilize,15,,cause to undergo cross-fertilization,Mendel cross-fertilized different kinds of beans,
cross-fertilize,15,cross-fertilise |,undergo cross-fertilization,become fertile,
cross-refer,11,,"refer from one entry to another, as in catalogues, books, and lists",,
crouch,6,,bend one's back forward from the waist on down,he crouched down,She bowed before the Queen
crown,5,,invest with regal power,enthrone,The prince was crowned in Westminster Abbey
cruise,6,,,travel at a moderate speed,Please keep your seat belt fastened while the plane is reaching cruising altitude
cruise,6,,,drive around aimlessly but ostentatiously and at leisure,She cruised the neighborhood in her new convertible
crumb,5,,,coat with bread crumbs,crumb a cutlet
crumble,7,,break or fall apart into fragments,The cookies crumbled,The Sphinx is crumbling
crumble,7,,fall apart,the building crumbled after the explosion,Negotiations broke down
crusade a fight a press c campaign a push a agitate a,53,,"exert oneself continuously, vigorously, or obtrusively to gain an end or engage in a crusade for a certain cause or person",be an advocate for,The liberal party pushed for reforms
crush,5,,humiliate or depress completely,She was crushed by his refusal of her invitation,The death of her son smashed her
cry,3,,"shed tears because of sadness, rage, or pain",She cried bitterly when she heard the news of his death,The girl in the wheelchair wept with frustration when she could not get up the stairs
cry,3,blazon out,proclaim or announce in public,"before we had newspapers, a town crier would cry the news",He cried his merchandise in the market square
crystallize,11,crystallise | crystalize | crystalise |,,cause to form crystals or assume crystalline form,crystallize minerals
cuddle,6,,move or arrange oneself in a comfortable and cozy position,We cuddled against each other to keep warm,The children snuggled into their sleeping bags
cull out,8,,select desirable parts from a group or list,cull out the interesting letters from the poet's correspondence,winnow the finalists from the long list of applicants
cultivate,9,crop | work |,,prepare for crops,Work the soil
cure,4,,"prepare by drying, salting, or chemical processing in order to preserve",cure meats,cure pickles
cure,4,,make (substances) hard and improve their usability,cure resin,cure cement
curl up,7,curl,shape one's body into a curl,She curled farther down under the covers,She fell and drew in
curry,5,,,season with a mixture of spices,typical of Indian cooking
curse,5,beshrew,wish harm upon,invoke evil upon,The bad witch cursed the child
curtsy,6,,make a curtsy,usually done only by girls and women,as a sign of respect
cut,3,,"cease, stop",cut the noise,We had to cut short the conversation
cut,3,,,hit (a ball) with a spin so that it turns in the opposite direction,cut a Ping-Pong ball
cut,3,,divide a deck of cards at random into two parts to make selection difficult,Wayne cut,She cut the deck for a long time
cut,3,,,style and tailor in a certain fashion,cut a dress
cut,3,,"form by probing, penetrating, or digging",cut a hole,cut trenches
cut,3,burn |,create by duplicating data,cut a disk,burn a CD
cut,3,,make a recording of,cut the songs,She cut all of her major titles again
cut away,8,,move quickly to another scene or focus when filming,`cut away now' the director shouted,
cut d,5,,fell by sawing,hew,The Vietnamese cut a lot of timber while they occupied Cambodia
cut f,5,,,move (one's fist),his opponent cut upward toward his chin
cut off,7,,remove by or as if by cutting,cut off the ear,lop off the dead branch
cut out,7,,delete or remove,Cut out the extra text,cut out the newspaper article
cut to,6,,move to another scene when filming,The camera cut to the sky,
cybernate,9,,,"control a function, process, or creation by a computer",They computerized the car industry
dabble,6,smatter,work with in an amateurish manner,She dabbles in astronomy,He plays around with investments but he never makes any money
dado,4,,,provide with a dado,The owners wanted to dado their dining room
dally,5,trifle | play |,consider not very seriously,He is trifling with her,She plays with the thought of moving to Tasmania
dam,3,,"obstruct with, or as if with, a dam",dam the gorges of the Yangtse River,
damage,6,,inflict damage upon,The snow damaged the roof,She damaged the car when she hit the tree
damage,6,,suffer or be susceptible to damage,These fine china cups damage easily,
dampen,6,,lessen in force or effect,soften a shock,break a fall
dance,5,,,move in a pattern,usually to musical accompaniment
dance,5,,"skip, leap, or move up and down or sideways",Dancing flames,The children danced with joy
dangle,6,,hang freely,the ornaments dangled from the tree,The light dropped from the ceiling
dare,4,,to be courageous enough to try or do something,I don't dare call him,she dares to dress differently from the others
dash off,8,,,write quickly,She dashed off a note to her husband saying she would not be home for supper
date,4,,assign a date to,determine the (probable) date of,Scientists often cannot date precisely archeological or prehistorical findings
date,4,,provide with a dateline,mark with a date,She wrote the letter on Monday but she dated it Saturday so as not to reveal that she procrastinated
daub,4,,cover (a surface) by smearing (a substance) over it,smear the wall with paint,daub the ceiling with plaster
dazzle,6,,"amaze or bewilder, as with brilliant wit or intellect or skill",Her arguments dazzled everyone,The dancer dazzled the audience with his turns and jumps
de-access,9,,dispose of by selling,the museum sold off its collection of French impressionists to raise money,the publishing house sold off one of its popular magazines
deaccession,11,,,,"c 01092370 n 0000 01 + 08 00 | sell (art works) from a collection, especially in order to raise money for the purchase of other art works"
deaden,6,blunt |,"make less lively, intense, or vigorous","impair in vigor, force, activity, or sensation",Terror blunted her feelings
deal,4,,,^   ^                                   do business,offer for sale as for one's livelihood
deal,4,,,distribute cards to the players in a game,Who's dealing?
deal,4,,,give (a specific card) to a player,He dealt me the Queen of Spades
deal,4,,take action with respect to (someone or something),How are we going to deal with this problem?,The teacher knew how to deal with these lazy students
deal b,6,,,sell,deal hashish
debar,5,,prevent the occurrence of,prevent from happening,Let's avoid a confrontation
debate,6,,argue with one another,We debated the question of abortion,John debated Mary
debouch,7,,pass out or emerge,especially of rivers,The tributary debouched into the big river
debunk,6,,expose while ridiculing,especially of pretentious or false claims and ideas,The physicist debunked the psychic's claims
debut,5,,,appear for the first time in public,"The new ballet that debuts next months at Covent Garden, is already sold out"
debut,5,,,make one's debut,This young soprano debuts next month at the Metropolitan Opera
debut,5,,,present for the first time to the public,The band debuts a new song or two each month
decamp,6,,,u           leave suddenly,She persuaded him to decamp
decarboxylate,13,,,lose a carboxyl group,the compound decarboxylated
decelerate,10,,lose velocity,move more slowly,The car decelerated
decide,6,settle,bring to an end,settle conclusively,The case was decided
decipher,8,,read with difficulty,Can you decipher this letter?,The archeologist traced the hieroglyphs
deck,4,,knock down with force,He decked his opponent,
declare,7,adjudge,declare to be,She was declared incompetent,judge held that the defendant was innocent
decline,7,slump | correct |,go down in value,the stock market corrected,prices slumped
decorate,8,,"make more attractive by adding ornament, colour, etc.",Decorate the room for the party,beautify yourself for the special day
decouple,8,,regard as unconnected,you must dissociate these two events,decouple our foreign policy from ideology
decrease,8,,"decrease in size, extent, or range",The amount of homework decreased towards the end of the semester,The cabin pressure fell dramatically
decree,6,,issue a decree,The King only can decree,
decussate,9,,cross or intersect so as to form a cross,this nerve decussates the other,the fibers decussate
deduce,6,,,reason by deduction,establish by deduction
deem,4,,keep in mind or convey as a conviction or view,take for granted,view as important
de-energize,11,,deprive of energy,,
deepen,6,change |,become deeper in tone,His voice began to change when he was  years old,Her voice deepened when she whispered the password
deep-fat-fry,12,,,fry in deep fat,deep-fry the potato chips
deep-six,8,,toss out,get rid of,deep-six these old souvenirs!
deface,6,,mar or spoil the appearance of,scars defaced her cheeks,The vandals disfigured the statue
defame,6,,charge falsely or with malicious intent,attack the good name and reputation of someone,The journalists have defamed me!
defend,6,guard | hold |,protect against a challenge or attack,Hold that position behind the trees,Hold the bridge against the enemy's attacks
define,6,,determine the nature of,What defines a good wine?,
define,6,delineate |,show the form or outline of,The tree was clearly defined by the light,The camera could define the smallest object
deflagrate,10,,cause to burn rapidly and with great intensity,care must be exercised when this substance is to be deflagrated,
defy,4,,resist or confront with resistance,The politician defied public opinion,The new material withstands even the greatest wear and tear
delay,5,,cause to be slowed down or delayed,Traffic was delayed by the bad weather,she delayed the work that she didn't want to perform
delay,5,,"act later than planned, scheduled, or required",Don't delay your application to graduate school or else it won't be considered,
delegate,8,,"give an assignment to (a person) to a post, or assign a task to (a person)",,
deliver,7,drive home,carry out or perform,deliver an attack,deliver a blow
deluge,6,,fill quickly beyond capacity,as with a liquid,the basement was inundated after the storm
demagnetize,11,,,make nonmagnetic,take away the magnetic properties (of)
demand,6,,request urgently and forcefully,The victim's family is demanding compensation,The boss demanded that he be fired immediately
demand,6,exact,claim as due or just,The bank demanded payment of the loan,
demand,6,,ask to be informed of,I demand an explanation,
demineralize,12,,,remove the minerals or salts from,demineralize water
demolish,8,,ruin or destroy,his book demolishes an old myth,demolished my reputation
demonstrate,11,,march in protest,take part in a demonstration,Thousands demonstrated against globalization during the meeting of the most powerful economic nations in Seattle
demote,6,,assign to a lower position,reduce in rank,She was demoted because she always speaks up
demur,5,,,enter a demurrer,
demythologize,13,,,remove the mythical element from (writings),the Bible should be demythologized and examined for its historical value
denazify,8,,free from Nazi ideology or detach from Nazi allegiance,Germany was denazified after WW II,The highest judges were never denazified
denitrify,9,,,remove nitrogen from,Denitrify the soil
deny,4,,declare untrue,contradict,He denied the allegations
deny,4,,refuse to accept or believe,He denied his fatal illness,
deny,4,,refuse to recognize or acknowledge,Peter denied Jesus,
deny,4,,refuse to let have,She denies me every pleasure,he denies her her weekly allowance
deny,4,abnegate,deny oneself (something),"restrain, especially from indulging in some pleasure",She denied herself wine and spirits
deny,4,,"refuse to grant, as of a petition or request",The dean denied the students' request for more physics courses,the prisoners were denied the right to exercise for more than 2 hours a day
depend on,9,depend upon | rely on,put trust in with confidence,she is someone you can really rely on when times get rough,you can rely on his discretion
depend on,9,,be contingent on,The outcomes rides on the results of the election,Your grade will depends on your homework
depersonalize,13,,make impersonal or present as an object,Will computers depersonalize human interactions?,Pornography objectifies women
deplore,7,lament,regret strongly,I deplore this hostile action,we lamented the loss of benefits
depress,7,,lower someone's spirits,make downhearted,These news depressed her
derive,6,,come from,"be connected by a relationship of blood, for example",She was descended from an old Italian noble family
descend,7,,"move downward and lower, but not necessarily all the way",The temperature is going down,The barometer is falling
desecrate,9,,violate the sacred character of a place or language,desecrate a cemetery,violate the sanctity of the church
desensitize,11,,cause not to be sensitive,The war desensitized many soldiers,The photographic plate was desensitized
design,6,,conceive or fashion in the mind,invent,She designed a good excuse for not attending classes that day
design,6,,make a design of,"plan out in systematic, often graphic form",design a better mousetrap
design,6,,create the design for,create or execute in an artistic or highly skilled manner,Chanel designed the famous suit
desire,6,,feel or have a desire for,want strongly,I want to go home now
desorb,6,,,remove from a surface on which it is adsorbed,the substance was desorbed
despair,7,,abandon hope,give up hope,lose heart
despond,7,,lose confidence or hope,become dejected,The supporters of the Presidential candidate desponded when they learned the early results of the election
desquamate,10,,peel off in scales,dry skin desquamates,
destroy,7,put down |,put (an animal) to death,The customs agents destroyed the dog that was found to be rabid,the sick cat had to be put down
destroy,7,,destroy completely,damage irreparably,You have ruined my car by pouring sugar in the tank!
detach,6,,cause to become detached or separated,take off,detach the skin from the chicken before you eat it
detach,6,,,"separate (a small unit) from a larger, especially for a special assignment",detach a regiment
detect,6,,"discover or determine the existence, presence, or fact of",She detected high levels of lead in her drinking water,We found traces of lead in the paint
deter,5,discourage |,try to prevent,show opposition to,We should discourage this practice among our youth
deterge,7,,wipe away,"to wash off or out, cleanse",chiefly in medical use: to clear away foul matter from the body
determine,9,,fix in scope,fix the boundaries of,the tree determines the border of the property
determine,9,shape,shape or influence,give direction to,experience often determines ability
determine,9,,"establish after a calculation, investigation, experiment, survey, or study",find the product of two numbers,The physicist who found the elusive particle won the Nobel Prize
determine,9,check a find out | see,"find out, learn, or determine with certainty, usually by making an inquiry or other effort",I want to see whether she speaks French,See whether it works
dethrone,8,,remove a monarch from the throne,"If the King does not abdicate, he will have to be dethroned",
detonate,8,explode | blow up |,burst and release energy as through a violent chemical or physical reaction,the bomb detonated at noon,The Molotov cocktail exploded
detoxify,8,,,remove poison from,detoxify the soil
develop,7,,"grow, progress, unfold, or evolve through a process of evolution, natural growth, differentiation, or a conducive environment",A flower developed on the branch,The country developed into a mighty superpower
develop,7,make grow,cause to grow and differentiate in ways conforming to its natural development,The perfect climate here develops the grain,He developed a new kind of apple
develop,7,,be gradually disclosed or unfolded,become manifest,The plot developed slowly
develop,7,acquire | evolve |,gain through experience,I acquired a strong aversion to television,Children must develop a sense of right and wrong
develop,7,,,move into a strategically more advantageous position,develop the rook
develop,7,,,move one's pieces into strategically more advantageous positions,Spassky developed quickly
develop,7,,generate gradually,We must develop more potential customers,develop a market for the new mobile phone
develop,7,,"make something new, such as a product or a mental or artistic creation",Her company developed a new kind of building material that withstands all kinds of weather,They developed a new technique
develop,7,,,c,c 00905257 n 0000 + 13485760 n 0101 + 03187578 n 0101 + 13485760 n 0102 ~ 02118916 v 0000 ~ 02143536 v 0000 ~ 02143834 v 0000 01 + 08 00 | make visible by means of chemical solutions
develop a grow a,16,,grow emotionally or mature,The child developed beautifully in her new kindergarten,"When he spent a summer at camp, the boy grew noticeably and no longer showed some of his old adolescent behavior"
develop c,9,,,expand in the form of a series,Develop the function in the following form
devil,5,,,coat or stuff with a spicy paste,devilled eggs
devolve,7,,grow worse,Her condition deteriorated,Conditions in the slums degenerated
devolve,7,,pass on or delegate to another,The representative devolved his duties to his aides while he was in the hospital,
devour,6,demolish,"eat up completely, as with great appetite",Some people can down a pound of meat in the course of one meal,The teenagers demolished four pizzas among them
diagnose,8,,determine or distinguish the nature of a problem or an illness through a diagnostic analysis,,
diagnose,8,,,subject to a medical analysis,
dial,4,,,operate a dial to select a telephone number,You must take the receiver off the hook before you dial
die,3,,,suffer spiritual death,be damned (in the religious sense)
die,3,,disappear or come to an end,Their anger died,My secret will die with me!
die,3,,pass from physical life and lose all bodily attributes and functions necessary to sustain life,She died from cancer,The children perished in the fire
die,3,,"be brought to or as if to the point of death by an intense emotion such as embarrassment, amusement, or shame",I was dying with embarrassment when my little lie was discovered,We almost died laughing during the show
die,3,,languish as with love or desire,She dying for a cigarette,I was dying to leave
die,3,,suffer or face the pain of death,Martyrs may die every day for their faith,
differentiate,13,,,calculate a derivative,take the derivative
dig,3,,"turn up, loosen, or remove earth",Dig we must,turn over the soil for aeration
dig,3,dig out,create by digging,dig a hole,dig out a channel
dig,3,,thrust down or into,dig the oars into the water,dig your foot into the floor
dig,3,,"remove, harvest, or recover by digging",dig salt,dig coal
digest,6,endure,put up with something or somebody unpleasant,I cannot bear his constant criticism,The new secretary had to endure a lot of unprofessional remarks
digitize,8,,"put into digital form, as for use in a computer",he bought a device to digitize the data,
digress,7,,"lose clarity or turn aside especially from the main subject of attention or course of argument in writing, thinking, or speaking",She always digresses when telling a story,her mind wanders
dine,4,,give dinner to,host for dinner,I'm wining and dining my friends
dine,4,,have supper,eat dinner,We often dine with friends in this restaurant
ding,4,,"go `ding dong', like a bell",,
dip,3,sink |,appear to move downward,The sun dipped below the horizon,The setting sun sank below the tree line
dip into,8,,read selectively,read only certain passages from a text,
direct,6,,command with authority,He directed the children to do their homework,
direct,6,,give directions to,point somebody into a certain direction,I directed them towards the town hall
disadvantage,12,,put at a disadvantage,"hinder, harm",This rule clearly disadvantages me
disagree,8,,be of different opinions,I beg to differ,She disagrees with her husband on many questions
disarm,6,,make less hostile,win over,Her charm disarmed the prosecution lawyer completely
disassociate,12,,part,cease or break association with,She disassociated herself from the organization when she found out the identity of the president
disavow,7,,refuse to acknowledge,disclaim knowledge of,"responsibility for, or association with"
disbar,6,,,remove from the bar,expel from the practice of law by official action
discerp,7,sever,cut off from a whole,His head was severed from his body,The soul discerped from the body
discipline,10,train | check | condition,develop (a child's or animal's) behavior by instruction and practice,especially to teach self-control,Parents must discipline their children
discourage,10,,deprive of courage or hope,take away hope from,cause to feel discouraged
discourse,9,talk about,to consider or examine in speech or writing,The author talks about the different aspects of this question,The class discussed Dante's `Inferno'
discover,8,,make a discovery,She found that he had lied to her,"The story is false, so far as I can discover"
discover,8,,"make a discovery, make a new finding",Roentgen discovered X-rays,Physicists believe they found a new elementary particle
discover,8,,see for the first time,make a discovery,Who discovered the North Pole?
disengage,9,,"release from something that holds fast, connects, or entangles",I want to disengage myself from his influence,disengage the gears
disguise,8,,make unrecognizable,The herb masks the garlic taste,We disguised our faces before robbing the bank
disgust,7,,cause aversion in,offend the moral sense of,The pornographic pictures sickened us
dish the dirt,13,,wag one's tongue,speak about others and reveal secrets or intimacies,She won't dish the dirt
disintegrate,12,,break into parts or components or lose cohesion or unity,The material disintegrated,the group disintegrated after the leader died
disintegrate,12,decay | decompose |,,"lose a stored charge, magnetic flux, or current",the particles disintegrated during the nuclear fission process
dislocate,9,,move out of position,dislocate joints,the artificial hip joint luxated and had to be put back surgically
dislodge,8,,remove or force out from a position,The dentist dislodged the piece of food that had been stuck under my gums,He finally could free the legs of the earthquake victim who was buried in the rubble
dismay,6,,fill with apprehension or alarm,cause to be unpleasantly surprised,I was horrified at the thought of being late for my interview
dismember,9,take apart,divide into pieces,our department was dismembered when our funding dried up,The Empire was discerped after the war
dismiss,7,throw out |,cease to consider,put out of judicial consideration,This case is dismissed!
disobey,7,,refuse to go along with,refuse to follow,be disobedient
disown,6,,cast off,She renounced her husband,The parents repudiated their son
dispense,8,,grant a dispensation,grant an exemption,I was dispensed from this terrible task
disperse,8,,move away from each other,The crowds dispersed,The children scattered in all directions when the teacher approached
displace,8,fire,terminate the employment of,discharge from an office or position,The boss fired his secretary today
diss,4,,"treat, mention, or speak to rudely",He insulted her with his rude remarks,the student who had betrayed his classmate was dissed by everyone
dissimilate,11,,,become dissimilar by changing the sound qualities,These consonants dissimilate
dissociate a,12,,,to undergo a reversible or temporary breakdown of a molecule into simpler molecules or atoms,acids dissociate to give hydrogen ions
dissolve,8,break up |,come to an end,Their marriage dissolved,The tobacco monopoly broke up
dissolve,8,break up |,bring the association of to an end or cause to break up,The decree officially dissolved the marriage,the judge dissolved the tobacco company
dissolve,8,thaw,become or cause to become soft or liquid,The sun melted the ice,the ice thawed
distill,7,extract,,extract by the process of distillation,distill the essence of this compound
distinguish,11,mark | differentiate |,"be a distinctive feature, attribute, or trait",sometimes in a very positive sense,His modesty distinguishes him from his peers
distract,8,,draw someone's attention away from something,The thief distracted the bystanders,He deflected his competitors
distribute,10,,"administer or bestow, as in small portions",administer critical remarks to everyone present,dole out some money
distrust,8,,regard as untrustworthy,regard with suspicion,have no faith or confidence in
disturb,7,,move deeply,This book upset me,A troubling thought
disunify,8,,break up or separate,The country is disunifying,Yugoslavia broke apart after 1989
ditch,5,,crash or crash-land,ditch a car,ditch a plane
dither,6,,act nervously,be undecided,be uncertain
dive,4,,,plunge into water,I was afraid to dive from the board into the pool
diverge,7,,extend in a different direction,The lines start to diverge here,Their interests diverged
divest,6,,reduce or dispose of,cease to hold (an investment),The company decided to divest
divest,6,,deprive of status or authority,he was divested of his rights and his title,They disinvested themselves of their rights
divide,6,,,perform a division,Can you divide 49 by seven?
divide,6,,separate into parts or portions,divide the cake into three equal parts,The British carved up the Ottoman Empire after World War I
divorce,7,,get a divorce,formally terminate a marriage,The couple divorced after only 6 months
do,2,,"create or design, often in a certain way",Do my room in blue,I did this piece in wood to express my love for the forest
do,2,,travel or traverse (a distance),This car does  miles per hour,We did 6 miles on our hike every day
do,2,,proceed or get along,How is she doing in her new job?,How are you making out in graduate school?
do a job on,11,,destroy completely or make ugly or useless,The dog did a job on my pillow,The seamstress did a job on my wedding gown
docket,6,,,place on the docket for legal action,Only 5 of the 120 cases docketed were tried
domesticate,11,tame |,,"make fit for cultivation, domestic life, and service to humans",The horse was domesticated a long time ago
domesticate,11,,,overcome the wildness of,make docile and tractable
domesticate,11,cultivate | naturalize | naturalise | tame |,,adapt (a wild plant or unclaimed land) to the environment,domesticate oats
dominate,8,,have dominance or the power to defeat over,Her pain completely mastered her,The methods can master the problems
donate,6,,give to a charity or good cause,I donated blood to the Red Cross for the victims of the earthquake,donate money to the orphanage
dope,4,,,give a narcotic to,The athletes were dope by the coach before the race
dope,4,,,add impurities to (a semiconductor) in order to produce or modify its properties,The resistors have been doped
dose,4,,treat with an agent,add (an agent) to,The ray dosed the paint
doss,4,,sleep in a convenient place,"You can crash here, though it's not very comfortable",
dote,4,,shower with love,show excessive affection for,Grandmother dotes on the twins
dote,4,,be foolish or senile due to old age,,
double,6,,do double duty,serve two purposes or have two functions,She doubles as his wife and secretary
double tongue,13,,,,c 00544270 n 0000 02 + 02 00 + 08 00 | play fast notes on a wind instrument
doubt,5,,lack confidence in or have doubts about,I doubt these reports,I suspect her true motives
down,4,,cause to come or go down,The policeman downed the heavily armed suspect,The mugger knocked down the old lady after she refused to hand over her wallet
downsize,8,,(of a company) reduce in size or number of employees,the company downsized its research staff,
downsize,8,,design or manufacture in a smaller size,the car makers downsized the SUVs when fuel became very expensive,
draft,5,,,draw up an outline or sketch for something,draft a speech
drag,4,,"pull, as against a resistance",He dragged the big suitcase behind him,These worries were dragging at him
drag a,6,,use a computer mouse to move icons on the screen and select commands from a menu,drag this icon to the lower right hand corner of the screen,
drag up,7,,mention something unpleasant from the past,Drag up old stories,
drain,5,,empty of liquid,drain the liquid from,We drained the oil tank
dramatize,9,,,put into dramatic form,adopt a book for a screenplay
draw,4,,"make, formulate, or derive in the mind",I draw a line here,draw a conclusion
draw,4,cast,choose at random,draw a card,cast lots
draw,4,,move or pull so as to cover or uncover something,draw the shades,draw the curtains
draw,4,get,,earn or achieve a base by being walked by the pitcher,He drew a base on balls
draw,4,,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",She drew an elephant
draw,4,,"elicit responses, such as objections, criticism, applause, etc.",The President's comments drew sharp criticism from the Republicans,The comedian drew a lot of laughter
draw,4,pull | pull out | get out | take out a,"bring, take, or pull out of a container or from under a cover",draw a weapon,pull out a gun
draw e,6,,bring or lead someone to a certain action or condition,She was drawn to despair,The President refused to be drawn into delivering an ultimatum
draw f,6,,steep,pass through a strainer,draw pulp from the fruit
draw in,7,retract,pull inward or towards a center,The pilot drew in the landing gear,The cat retracted his claws
draw off,8,,remove by drawing or pulling,She placed the tray down and drew off the cloth,draw away the cloth that is covering the cheese
draw up,7,,,come to a halt after driving somewhere,The Rolls pulled up on pour front lawn
draw up,7,pull up |,,cause (a vehicle) to stop,He pulled up the car in front of the hotel
dream,5,,experience while sleeping,She claims to never dream,He dreamt a strange scene
dredge,6,,,cover before cooking,dredge the chicken in flour before frying it
drench,6,,cover with liquid,pour liquid onto,souse water on his hot face
dress,5,dress up |,dress in a certain manner,She dresses in the latest Paris fashion,he dressed up in a suit and tie
dress,5,groom | curry,give a neat appearance to,groom the dogs,dress the horses
dress,5,,put on clothes,we had to dress quickly,dress the patient
dress,5,clothe,provide with clothes or put clothes on,Parents must feed and dress their child,
dress,5,,,apply a bandage or medication to,dress the victim's wounds
dress,5,,,put a dressing on,dress the salads
dress up,8,,make something appear superficially attractive,The researcher tried to dress up the uninteresting data,Don't try to dress up the unpleasant truth
dribble,7,,,propel,Carry the ball
drift,5,,be piled up in banks or heaps by the force of wind or a current,snow drifting several feet high,sand drifting like snow
drill,5,,learn by repetition,We drilled French verbs every day,Pianists practice scales
drink,5,,take in liquids,The patient must drink several liters each day,The children like to drink soda
drink,5,tope,drink excessive amounts of alcohol,be an alcoholic,The husband drinks and beats his wife
drink in,8,,be fascinated or spell-bound by,pay close attention to,The mother drinks in every word of her son on the stage
drive,5,,move into a desired direction of discourse,What are you driving at?,
drive,5,,,@           (hunting) chase from cover into more open ground,drive the game
drive,5,,,(hunting) search for game,drive the forest
drive,5,,cause to function by supplying the force or power for or by controlling,The amplifier drives the tube,steam drives the engines
drive,5,,,excavate horizontally,drive a tunnel
drive,5,,,"hit very hard, as by swinging a bat horizontally",drive a ball
drive,5,,,"strike with a driver, as in teeing off",drive a golf ball
drive,5,,,travel or be transported in a vehicle,We drove to the university every morning
drive,5,,,operate or control a vehicle,drive a car or bus
drive,5,,cause someone or something to move by driving,She drove me to school every day,We drove the car to the garage
drive,5,,have certain properties when driven,This car rides smoothly,My new truck drives well
drive b take b,14,,,proceed along in a vehicle,We drive the turnpike to work
drive d,7,,work as a driver,He drives a bread truck,She drives for the taxi company in Newark
drive home,10,,make clear by special emphasis and try to convince somebody of something,drive home a point or an argument,I'm trying to drive home these basic ideas
drive in,8,,,cause a run or runner to be scored,His line double drove in Jim Lemon with the winning run
drive up,8,,,approach while driving,The truck entered the driveway and drove up towards the house
drop,4,,give birth,used for animals,The cow dropped her calf this morning
drop,4,knock off,stop pursuing or acting,drop a lawsuit,knock it off!
drop,4,,utter with seeming casualness,drop a hint,drop names
drop,4,,,lose (a game),The Giants dropped 11 of their first 13
drop,4,,"remove (cargo, people, etc.) from and leave",unload the cargo,drop off the passengers at the hotel
drop open,9,,open involuntarily,His mouth dropped open,Her jaw dropped
drop out,8,,give up in the face of defeat of lacking hope,admit defeat,"In the second round, the challenger gave up"
drown,5,,"die from being submerged in water, getting water into the lungs, and asphyxiating",The child drowned in the lake,
drowse,6,,be on the verge of sleeping,The students were drowsing in the  AM class,
drug,4,,,administer a drug to,They drugged the kidnapped tourist
drum,4,,make a rhythmic sound,Rain drummed against the windshield,The drums beat all night
dry,3,dry out |,remove the moisture from and make dry,dry clothes,dry hair
dull,4,,become dull or lusterless in appearance,lose shine or brightness,the varnished table top dulled with time
dump,4,ditch |,"sever all ties with, usually unceremoniously or irresponsibly",The company dumped him after many years of service,She dumped her boyfriend when she fell in love with a rich man
dun,3,,,cure by salting,dun codfish
dunk,4,,"immerse briefly into a liquid so as to wet, coat, or saturate",dip the garment into the cleaning solution,dip the brush into the paint
dunk,4,,,"make a dunk shot, in basketball",He dunked the ball
eagle,5,,,shoot two strokes under par,She eagled the hole
eat,3,,eat a meal,take a meal,We did not eat until 10 P.M. because there were so many phone calls
eat,3,,take in solid food,She was eating a banana,What did you eat for dinner last night?
eat,3,,worry or cause anxiety in a persistent way,What's eating you?,
eat into,8,,gnaw into,make resentful or angry,The injustice rankled her
eclipse,7,,cause an eclipse of (a celestial body) by intervention,The Sun eclipses the moon today,Planets and stars often are occulted by other celestial bodies
edit,4,,"prepare for publication or presentation by correcting, revising, or adapting",Edit a book on lexical semantics,she edited the letters of the politician so as to omit the most personal passages
edit,4,cut | edit out,cut and assemble the components of,edit film,cut recording tape
edit,4,,supervise the publication of,The same family has been editing the influential newspaper for almost  years,
educate,7,school | train | cultivate,teach or refine to be discriminative in taste or judgment,Cultivate your musical taste,Train your tastebuds
egg,3,,,coat with beaten egg,egg a schnitzel
ejaculate,9,,eject semen,,
eke out,7,fill out,supplement what is thought to be deficient,He eked out his meager pay by giving private lessons,Braque eked out his collages with charcoal
elaborate,9,,"add details, as to an account or idea","clarify the meaning of and discourse in a learned way, usually in writing",She elaborated on the main ideas in her dissertation
elaborate,9,,produce from basic elements or sources,change into a more developed product,The bee elaborates honey
elate,5,,fill with high spirits,fill with optimism,Music can uplift your spirits
elicit,6,,,derive by reason,elicit a solution
elude,5,,"escape, either physically or mentally",The thief eluded the police,This difficult idea seems to evade her
elude,5,,be incomprehensible to,escape understanding by,What you are seeing in him eludes me
e-mail,6,,,communicate electronically on the computer,she e-mailed me the good news
embody,6,,"represent, as of a character on stage",Derek Jacobi was Hamlet,
